Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,,Awards
48,2017,NBA,1,18,IND,T.J. Leaf\leaftj01,20.058,F,il,University of California Los Angeles,2018,2019,107,8.5,3.2,1.8,0.3,0.1,0.2,.510,.560,.357,.595,2.1,.111,Career,UCLA,,35,35,29.9,6.7,10.9,.617,5.9,9.2,.644,0.8,1.7,.466,2.1,3.0,.679,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,,6.39
49,2017,NBA,1,19,ATL,John Collins\collijo01,19.277,F,us,Wake Forest University,2018,2019,132,26.6,14.4,8.3,1.6,0.5,0.9,.568,.605,.354,.742,11.3,.154,Career,Wake Forest,,64,34,20.7,4.9,8.2,.601,4.9,8.2,.602,0.0,0.0,.000,3.6,4.9,.729,2.8,4.2,7.0,0.4,0.5,1.2,1.4,2.8,13.4,,10.16
50,2017,NBA,1,20,POR,Harry Giles\gilesha01,19.066,F-C,us,Duke University,2019,2019,58,14.1,7.0,3.8,1.5,0.5,0.4,.503,.512,.000,.637,1.0,.059,Career,Duke,,26,6,11.5,1.7,3.0,.577,1.7,3.0,.577,0.0,0.0,,0.5,0.9,.500,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,,10.91
51,2017,NBA,1,21,OKC,Terrance Ferguson\fergute01,19.041,G-F,us,,2018,2019,130,19.7,5.0,1.3,0.6,0.5,0.2,.416,.556,.351,.750,3.7,.069,NA
52,2017,NBA,1,22,BRK,Jarrett Allen\allenja01,19.067,C-F,us,University of Texas at Austin,2018,2019,148,23.3,9.6,6.9,1.1,0.5,1.4,.588,.615,.186,.732,11.5,.160,Career,Texas,,33,33,32.2,5.4,9.6,.566,5.4,9.4,.579,0.0,0.2,.000,2.5,4.5,.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,,12.75
53,2017,NBA,1,23,TOR,OG Anunoby\anunoog01,19.345,F,gb,Indiana University,2018,2019,138,20.2,6.5,2.7,0.7,0.7,0.3,.463,.587,.355,.598,5.0,.086,Career,Indiana,,50,10,17.4,2.7,4.8,.563,2.1,3.3,.652,0.5,1.5,.365,0.9,1.8,.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8,,7.53
54,2017,NBA,1,24,UTA,Tyler Lydon\lydonty01,21.079,F,us,Syracuse University,2018,2019,25,3.7,0.8,0.7,0.2,0.1,0.0,.471,.571,.400,.333,0.1,.067,Career,Syracuse,,71,34,33.1,3.9,8.2,.476,2.5,4.8,.531,1.4,3.5,.400,2.4,2.9,.809,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,,9.11
55,2017,NBA,1,25,ORL,Anzejs Pasecniks\pasecan01,21.190,C,lv,,,,,,,,,,,,,,,,,NA
56,2017,NBA,1,26,POR,Caleb Swanigan\swanica01,20.070,F,us,Purdue University,2018,2019,45,7.4,2.1,2.4,0.5,0.2,0.1,.365,.396,.154,.720,-0.3,-0.039,Career,Purdue,,69,69,29.2,5.1,10.2,.501,4.2,7.9,.537,0.9,2.3,.376,3.3,4.4,.760,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,,8.12,,
57,2017,NBA,1,27,BRK,Kyle Kuzma\kuzmaky01,21.339,F,us,University of Utah,2018,2019,147,32.1,17.3,5.9,2.2,0.6,0.4,.453,.533,.335,.731,7.0,.071,Career,Utah,,96,64,21.0,3.9,7.7,.506,3.3,5.9,.567,0.5,1.8,.302,1.8,2.8,.633,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,,6.84
58,2017,NBA,1,28,LAL,Tony Bradley\bradlto01,19.170,F-C,us,University of North Carolina,2018,2019,10,3.8,0.8,1.4,0.1,0.0,0.0,.214,.231,.000,1.000,0.0,-0.054,Career,UNC,,38,0,14.6,2.7,4.7,.573,2.7,4.7,.573,0.0,0.0,,1.7,2.8,.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,,11.76
59,2017,NBA,1,29,SAS,Derrick White\whitede01,22.361,G,us,University of Colorado,2018,2019,79,22.0,8.3,3.2,3.2,0.9,0.6,.472,.515,.354,.759,3.7,.101,Career,Colorado,,34,32,32.8,6.0,11.9,.507,4.4,7.6,.569,1.7,4.2,.396,4.4,5.4,.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,,6.00
60,2017,NBA,1,30,UTA,Josh Hart\hartjo01,22.114,G,us,Villanova University,2018,2019,130,24.4,7.9,3.9,1.3,0.9,0.4,.435,.530,.361,.695,5.5,.083,Career,Villanova,,146,77,28.0,4.6,9.1,.511,3.2,5.4,.592,1.4,3.6,.389,2.5,3.4,.720,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,,8.51,,
61,2016,NBA,1,1,PHI,Ben Simmons\simmobe01,19.343,G-F,au,Louisiana State University,2018,2019,156,34.1,16.4,8.5,8.0,1.6,0.8,.555,.560,.000,.585,17.3,.156,Career,LSU,,33,32,34.9,6.5,11.7,.560,6.5,11.6,.561,0.0,0.1,.333,6.0,9.0,.670,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,,7.00
62,2016,NBA,1,2,LAL,Brandon Ingram\ingrabr01,18.299,F,us,Duke University,2017,2019,190,31.7,13.9,4.7,2.9,0.6,0.6,.458,.485,.329,.662,4.5,.036,Career,Duke,,36,34,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,,10.59
63,2016,NBA,1,3,BOS,Jaylen Brown\brownja02,19.247,F-G,us,University of California,2017,2019,220,24.4,11.2,4.0,1.3,0.8,0.3,.462,.515,.365,.660,8.9,.080,Career,California,,34,34,27.6,4.8,11.1,.431,3.9,8.1,.482,0.9,3.0,.294,4.2,6.4,.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,,7.87
64,2016,NBA,1,4,PHO,Dragan Bender\bendedr01,18.223,F,ba,,2017,2019,167,20.0,5.1,3.7,1.2,0.3,0.5,.392,.505,.326,.660,0.0,.000,NA
65,2016,NBA,1,5,MIN,Kris Dunn\dunnkr01,22.103,G,us,Providence College,2017,2019,176,24.1,8.6,3.3,4.4,1.4,0.5,.417,.441,.323,.723,1.6,.018,Career,Providence,,95,83,31.5,4.5,9.9,.450,3.7,7.8,.476,0.8,2.2,.354,3.1,4.5,.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,,8.09,,
66,2016,NBA,1,6,NOP,Buddy Hield\hieldbu01,23.194,G,bs,University of Oklahoma,2017,2019,239,26.7,14.9,4.1,1.9,0.7,0.3,.446,.470,.419,.874,9.8,.073,Career,Oklahoma,,132,118,31.7,5.9,13.2,.448,3.3,6.5,.508,2.6,6.8,.390,2.8,3.4,.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,,9.28,,
67,2016,NBA,1,7,DEN,Jamal Murray\murraja01,19.125,G,ca,University of Kentucky,2017,2019,233,28.4,14.8,3.4,3.3,0.8,0.3,.434,.483,.361,.882,11.5,.084,Career,Kentucky,,36,36,35.2,6.8,14.9,.454,3.6,7.3,.502,3.1,7.7,.408,3.3,4.2,.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,,8.84
68,2016,NBA,1,8,SAC,Marquese Chriss\chrisma01,18.361,F,us,University of Washington,2017,2019,193,19.3,7.6,4.5,0.8,0.7,0.8,.431,.511,.299,.627,2.4,.030,Career,Washington,,34,34,24.9,5.3,9.9,.530,4.6,8.2,.568,0.6,1.8,.350,2.6,3.8,.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,,8.12
69,2016,NBA,1,9,TOR,Jakob Poeltl\poeltja01,20.257,C,at,University of Utah,2017,2019,208,16.0,5.4,4.5,0.7,0.4,0.9,.640,.641,.500,.561,11.8,.170,Career,Utah,,70,70,26.9,5.1,7.7,.658,5.1,7.7,.659,0.0,0.0,.000,3.1,5.2,.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,,8.10,,
